M5 FULL SCAN — MERCURY-AI V1
Generated: 2026-09-02T00:27:51.240690+00:00
Timeframe: M5
HEZILEX EFFECTIVE: 68
DISTINCT SUPPORTED: 62
PASS ENTRIES: 63
UNSUPPORTED: 5

SUMMARY:
 M5_SCANNED_DISTINCT: 62
 M5_FAILED_DISTINCT: 0
 M5_SCANNED_ENTRIES: 63
 M5_FAILED_ENTRIES: 0
 REAL_SIGNAL: 57
 WAIT_LEGITIMATE: 0
 DATA_UNAVAILABLE: 6
 UNSUPPORTED: 5
 SCAN_ERROR: 0
 PROB_SUM_PASS: True
 DECISION_CONSISTENCY_PASS: True
 POST_RESOLVER_PASS: True

PER-ASSET EVIDENCE:
USD/CHF -> USDCHF=X | M5 | REAL_SIGNAL | BUY grade=D conf=0.6914051111111112 confl=100.0 buy=44.3 sell=0.0 wait=55.7 sum=100.0 trade_allowed=True audit=b3bab8b925e58c7e29ac6fafe67523cdd60ae4c78398983bffd232debfe2e949 ts=2026-09-02T00:18:05.343106 resolver=BUY/5 consistency=True
NZD/JPY -> NZDJPY=X | M5 | REAL_SIGNAL | SELL grade=B conf=0.6957346482758622 confl=100.0 buy=0.0 sell=60.45 wait=39.55 sum=100.0 trade_allowed=True audit=70301abd1e031735a0c118ff43d2d401cfeea032facc4987fc4e98e89ee05317 ts=2026-09-02T00:18:27.374340 resolver=SELL/6 consistency=True
EUR/CHF -> EURCHF=X | M5 | REAL_SIGNAL | BUY grade=D conf=0.6962185212121212 confl=100.0 buy=44.56 sell=0.0 wait=55.44 sum=100.0 trade_allowed=True audit=0880db57b3ededdc5ec0a95591a6190125aaa068975f06e516d8f7c81bde0fb5 ts=2026-09-02T00:18:47.099165 resolver=BUY/5 consistency=True
CAD/CHF -> CADCHF=X | M5 | REAL_SIGNAL | BUY grade=D conf=0.6973963030303031 confl=100.0 buy=44.68 sell=0.0 wait=55.32 sum=100.0 trade_allowed=True audit=82410c9dc762d38944d4053c7c27eb16786efb1ec304b44dac67eef025995b59 ts=2026-09-02T00:19:08.417270 resolver=BUY/5 consistency=True
EUR/CAD -> EURCAD=X | M5 | DATA_UNAVAILABLE | WAIT grade=N/A conf=0.0 confl=None buy=0.0 sell=0.0 wait=100.0 sum=100.0 trade_allowed=True audit=DATA_QUALITY_FAIL ts=2026-09-02T00:19:09.095812 resolver=WAIT/7 consistency=True
BTC/USD -> BTC-USD | M5 | REAL_SIGNAL | BUY grade=B conf=0.7020792800000001 confl=100.0 buy=60.65 sell=0.0 wait=39.35 sum=100.0 trade_allowed=True audit=d0f0d42575ac6ea2922b96fec5eb7c9895aaf3d5ec3a181f7a38dcb2fdbf05b8 ts=2026-09-02T00:19:31.168887 resolver=BUY/5 consistency=True
AUD/NZD -> AUDNZD=X | M5 | REAL_SIGNAL | BUY grade=B conf=0.7071132800000001 confl=100.0 buy=60.44 sell=0.0 wait=39.56 sum=100.0 trade_allowed=True audit=6fb614f0ade914b35e625314be8901d9f892a777f25bdc48e28d8a8d3b5dd044 ts=2026-09-02T00:19:51.284804 resolver=BUY/5 consistency=True
AUD/USD -> AUDUSD=X | M5 | REAL_SIGNAL | SELL grade=B conf=0.6967712235294118 confl=100.0 buy=0.0 sell=60.3 wait=39.7 sum=100.0 trade_allowed=True audit=5cb9c1f697e5bb74bbb2e1c31f2d843c54a9ed51f9a9d3b8b993e6d6c6618f2d ts=2026-09-02T00:20:05.666654 resolver=SELL/6 consistency=True
NZD/CHF -> NZDCHF=X | M5 | REAL_SIGNAL | BUY grade=D conf=0.6912478222222224 confl=100.0 buy=45.07 sell=0.0 wait=54.93 sum=100.0 trade_allowed=True audit=368253d6075f843673f1f9d14a284808d55f06f38168e764bfa2938262a3277d ts=2026-09-02T00:20:26.707659 resolver=BUY/5 consistency=True
GBP/CAD -> GBPCAD=X | M5 | REAL_SIGNAL | SELL grade=D conf=0.6964119172413794 confl=100.0 buy=0.0 sell=44.58 wait=55.42 sum=100.0 trade_allowed=True audit=6e506b59c429ce06e998f99eec1fe007223287950c28cccf1404686258a2f369 ts=2026-09-02T00:20:48.287741 resolver=SELL/6 consistency=True
